txt,words,title,summery,summery_word,similarity,label,,,,
회사에서 일잘하는 직원으로 남는 방법,"['직원', '회사']",일을 잘 맡긴다는 것,일 잘하는 리더 VS 일 잘 맡기는 리더누가 더 연봉이 높을까?일을 잘하는 리더가 있고 일을 잘 맡기는 리더가 있다. 당신은 어떤 리더인가? 신간 『일을 잘 맡긴다는 것』은 리더가 일을 잘하는 것은 아무 쓸모 없고 일을 잘 맡기는 것이 중요하다고 말하는 책이다. 저자는 지난 20년 동안 매년 1000명 넘는 리더에게 일을 잘 맡기는 방법을 코칭하고 있는 조직 매니지먼트 전문가다. 조직이 요구하는 리더의 능력이 변하고 있다. 일을 둘러싼 환경이 급변하고 있기 때문이다. 주 52시간으로 근무시간은 짧아졌고 일과 삶의 균형을 중시하는 워라벨 세대가 등장했다. 이제는 예전처럼 상명하복으로 일을 시키면 그냥 하는 시대가 아니다.  문제는 그렇다고 해서 회사가 리더에게 요구하는 목표가 줄어드는 건 아니라는 점이다. 리더가 일하는 시간을 무한대로 늘린다고 해도 해결되지 않는다. 저자는 일을 맡길 직원이 없는 게 아니라 일을 맡기지 못하는 리더가 있을 뿐이라고 일침을 가한다. 더 이상 혼자만의 힘으로 리더의 능력을 인정받는 시대는 지나갔다며 이제 리더에게 가장 필요한 능력은 부하 직원에게 일을 맡기고 그 업무가 문제없이 진행되도록 하는 것이라고 말한다. 리더가 일을 잘 맡기는 기술을 익혀야 하는 이유다. 그러나 많은 리더가 일 맡기는 걸 어려워한다. 그 이유는 일을 맡길 부하 직원의 유형과 일을 맡겨야 하는 상황의 조합이 무한대로 나오기 때문이다.  부하 직원 모두 우수하고 긍정적이고 적극적이고 책임감이 강하다면 얼마나 좋겠는가. 하지만 이런 상황은 현실에선 존재하지 않는다. 90년대생 직원 남성 여성 직원 나보다 나이가 많은 직원 등 나이가 다르고 성별이 다르고 가치관도 다르다. 철부지형 트러블 메이커 등 성향도 다르다. 게다가 일을 맡겨야 하는 상황도 다르다. 그렇다면 어떤 일을 어떤 부하 직원에게 어떻게 맡길 것인가? 책에는 리더 자신이 어떤 유형인지 알 수 있는 체크리스트를 포함해 일을 맡길 때 5단계 원칙 부하 직원의 8가지 유형과 그 유형별로 일을 맡기는 방법 그리고 일을 잘 맡기는 리더의 이미지를 만드는 법들을 소개하고 있다. ‘일을 맡기는 기술’이 얼마나 중요한지 확인하고 자신이 일하는 방식을 개혁해야 한다는 것을 깨닫게 될 것이다.,"['업무', '회사', '리더', '문제', '요구', '직원']",0.333,1,,,,
소설작가가 되고싶은 어린이를 위한 추천서,"['추천', '작가', '소설', '어린이']",타인의 집,짧고 대담하고 강렬하다!바로 지금 손원평이라는 렌즈가 담아낸 뒤틀린 세계의 파편80만 독자가 사랑한 『아몬드』 작가 손원평의 첫번째 소설집2017년 화제의 데뷔작 『아몬드』(창비)로 독자들의 열렬한 사랑을 받으며 단숨에 ‘믿고 읽는’ 작가로 자리매김한 작가 손원평의 신간 『타인의 집』이 출간되었다. 주로 장편소설로 독자들과 만나온 작가가 처음으로 펴낸 소설집이라 더욱 반갑다. 이런 이번 소설집에는 작품활동을 시작하던 시기의 작품부터 2021년 봄에 발표한 최신작까지 작가가 소설을 쓰기 시작하며 가장 먼저 천착한 고민들이 5년의 궤적으로 오롯이 담겼다. 전셋집의 불법 월세 셰어하우스를 배경으로 부동산 계급 구조를 씁쓸한 촌극으로 풀어낸 표제작 「타인의 집」을 비롯하여 근미래의 노인 수용시설 속 할머니와 이주민 ‘복지 파트너’의 불편하고도 아슬아슬한 우정을 다룬 SF 「아리아드네 정원」 『아몬드』의 외전 격의 소설 「상자 속의 남자」 등 단편 특유의 호흡과 한계를 뛰어넘는 서사로 빛나는 여덟편 모두 ‘읽는 재미’가 가득하다. 한 사람의 내면이 작게 어긋나는 순간부터 지금 우리가 직면한 사회적 문제까지 다채로운 이야기에 매혹되고 나면 손원평이라는 이 믿음직한 작가가 앞으로 얼마나 많은 이야기를 우리에게 들려주게 될지 기대하지 않을 수 없다.,"['소설', '작가', '최신', '처음']",0.333,1,,,,
아픈 상처가 있는 마음의 상처는 누구에게나 있다.,"['마음', '상처']",같은 말이라도 마음 다치지 않게 ,“말의 가시에 고슴도치가 되어버린 우리 괜찮을까요?”사소한 말이 가시가 되어 돌아올 때 당신을 지켜주는 말들아무 말을 아무렇지 않게 내뱉는 사람들이 많다. 그 말의 가시에 찔려 우리는 마음이 아프고 삶이 괴롭고 스스로를 미워하게 된다. 이제 그만 무분별하게 입력되는 말들에 휘둘리지 말고 나를 지키는 말들 나를 위하는 말들에 집중해 보자. 『같은 말이라도 마음 다치지 않게』의 첫 번째 장에서는 상대방으로부터 상처받은 나의 마음을 달래주는 말들 두 번째 장에서는 상대의 무례함으로부터 나를 지키는 말들 세 번째 장에서는 어떠한 경우에도 좌절하지 않는 따뜻한 말들 네 번째 장에서는 언제나 내 편이 되어주는 힘이 되는 말들 다섯 번째 장에서는 인생의 의미를 되찾아주는 말들을 담았다. 하루를 시작할 때 또 하루를 마무리할 때 마음속에 다정한 말들을 품으며 살아가길 바란다.,"['마음', '상대방', '상처', '무분별', '입력', '둘리']",0.333,1,,,,
군인을 되는 방법 직업군인의 삶,"['군인', '직업']",공무원보다 직업군인이 좋은 33가지 이유,공시족의 경쟁 과열 실상 속에서 주목해봐야 할 숨은 진주 직업군인의 모든 것을 담고 있다. 총 33장으로 구성된 이 책의 핵심 화두는 ‘특정직 공무원 직업군인이 왜 일반직 공무원보다 좋은가?’이다. 살인적인 경쟁률을 뚫고 9급 공무원 등 일반직 공무원이 된다는 것은 대단히 어렵다. 혹여 우여곡절 끝에 된다고 할지라도 현실적 문제는 여전히 바로 해결되지 않는다. 반면 직업군인은 경쟁률이 상대적으로 낮을뿐더러 그 문턱을 넘으면 현실적 문제가 단번에 해결된다. 특히 대학 학자금 때문에 청년 신용 불량자가 속출하는 이 시대에서 직업은 물론 대학 유학 대학원 문제까지 모두 군의 지원으로 해결할 수 있다. 독신자 숙소 신혼집 등 주거 문제도 자연히 해결된다. 부사관으로 대변되는 직업군인은 취업 시장에서 청년들의 희망이 될 수 있다. 4차 산업혁명 물결에도 끝까지 살아남을 수 있도록 개인의 해당 분야에서 최고 전문가로 키워준다. 향후 노후 문제도 걱정할 일이 없다.,"['군인', '공무원', '현실', '우여곡절', '경쟁률', '직업']",0.333,1,,,,
네이버 웹툰 소설로 만들어진 소설책,"['소설', '네이버', '웹툰']",살인자의 쇼핑목록,미온한 의심이 치명적인 진실을 파고든다!현혹되듯 빠져드는 일곱 편의 이야기“범인은 영수증 안에 있다!”이광수·설현 주연 tvN 드라마 『살인자의 쇼핑목록』 원작 소설 수록독보적인 스토리텔러 강지영 작가가 선보이는 일곱 가지 이야기장르문학계의 페이지터너 강지영 작가의 소설집 『살인자의 쇼핑목록』이 네오픽션 ON 시리즈 두 번째 작품으로 출간되었다. 표제작 「살인자의 쇼핑목록」은 손님들의 쇼핑 물품을 관찰하는 취미가 있는 마트 캐셔가 연쇄살인범으로 의심되는 인물을 발견하는 이야기로 현재 tvN 드라마와 네이버 웹툰으로 절찬리 방영·연재 중이다. 소설과 웹툰을 넘나들며 신선한 상상력과 독특한 소재 대담한 이야기 전개로 독자의 마음을 사로잡아온 작가는 이번 소설집에서도 색다른 분위기의 일곱 작품을 선보인다. 평범한 일상 속에서 ‘혹시 어쩌면’이라는 의문이 드는 찰나 그 미묘한 균열로 비롯된 서늘한 미스터리와 기묘한 환상을 유려하게 엮어낸 이야기들이 펼쳐진다. 각 작품은 의심의 씨앗으로 시작해 치명적인 진실에 다다르도록 독자를 끌어당겨 소설을 읽는 즐거움과 몰입감을 선사한다.,"['주연', '드라마', '네이버', '살인자', '웹툰']",0.333,1,,,,
파이썬 언어로 AI 인공지능 기술 구현하는 예제,"['파이썬', '지능', '기술', '인공', '언어', '예제', '구현']",파이썬 자동화 교과서,파이썬은 현재 가장 각광받는 언어라고 감히 말할 수 있다. 최근에 인공지능이나 데이터 과학 영상 처리 분야는 파이썬으로 프로그램을 작성하는 것이 거의 표준으로 되어 있다. 해가 갈수록 파이썬 활용이 폭발적으로 늘어나고 있다.필자가 보기에 파이썬은 두 얼굴을 가진 언어인 거 같다. 쉽게 사용하려면 한없이 쉽게 사용할 수 있는 언어가 파이썬이다. 하지만 인공지능이나 데이터 과학 분야에서는 상당히 복잡하고 난해한 파이썬 프로그램들이 등장한다. 이러한 복잡한 프로그램을 읽으려면 상당한 정도의 파이썬 지식이 필요하다. 이 책에서는 최선을 다하여 파워 유저를 위한 파이썬 지식을 제공하려고 노력하였다.,"['파이썬', '인공', '언어', '최선', '지식']",0.333,1,,,,
파이썬 언어로 AI 인공지능 기술 구현하는 예제,"['파이썬', '지능', '기술', '인공', '언어', '예제', '구현']",한 권으로 끝내는 파이썬 인공지능 입문+실전 [종합편],『한 권으로 끝내는 파이썬 인공지능 입문+실전(종합편)』 책을 통해 파이썬 넘파이 텐서플로우를 이용하여 인공지능 일고리즘을 구현해 보면서 인공지능의 원리를 이해할 수 있도록 다음과 같이 1단계 : 인공지능 딥러닝 이해/ 2단계 : 파이썬으로 딥러닝 알고리즘 구현/ 3단계 : 넘파이로 행렬기반 딥러닝 알고리즘 구현/ 4단계 : 직접 구현으로 텐서플로우 내부 동작 이해/ 5단계 : CNN 알고리즘 이해와 직접 구현/ 6단계 : 넘파이 기반 CNN 구현과 활용으로 구성했다.  ※ 이 책의 예제 소스파일 다운로드 방법은 5페이지를 참조하고 책을 보면서 궁금한 사항의 질의응답 방법은 4페이지를 참조합니다.,"['파이썬', '러닝', '지능', '인공', '알고리즘']",0.333,1,,,,
"세계적인 궁궐의 도시는 대한민국의 수도인 서울로 경복궁, 창경궁, 창덕궁, 경희궁, 경운궁 같은 5대 궁궐이 유일하게 한 공간에 모였기 때문이다.","['세계', '수도', '도시', '대한민국', '서울', '경복궁', '궁궐']",그래도 나는 서울이 좋다,도시를 사랑한 한 남자의 이야기“도시는 흔적과 장소 집합 기호 상징 미학 기억 그리고 상상으로 이루어져 있다. 그 모습은 지금 사랑하는 사람과의 지난 추억을 닮았다.” 그림 그리는 건축가 오기사가 살고 걷고 숨 쉬며 사랑하는 도시 대한민국 서울의 건축과 지문 도시와 사랑 삶에 관한 이야기. 서울은 오기사가 태어나고 자란 곳이다. 지구 곳곳을 방랑하기를 즐겨 하는 그이지만 결국 다시 찾아오는 종착지는 늘 고향 서울이었다.이 책은 서울이라는 거대 도시의 섬세한 지문을 오기사 특유의 감성과 시선을 담아 8가지 키워드로 읽어 낸다. 자신의 건축 설계 사무실이 있는 신사동 가로수 길과 시끌벅적한 종로 거리에서부터 청와대 국회의사당 서울 광장 한강의 다리들 고궁과 미술관 일상적인 공간 아파트에 이르기까지 서울이라는 거대 도시에 사는 이들의 터전을 '건축'과 '도시'라는 프레임 속에서 새롭게 그려냈다. 서울에 관한 다소 불편한 진실에서부터 무분별한 도시 개발에 관한 건축가로서의 애정 어린 걱정 그리고 서울에서 살아가는 이로서의 삶과 사랑에 이르기까지 저자가 담아내는 서울이라는 도시의 문양은 각양각색이고 다채롭다. 때론 느슨하게 때론 엄격하게 그러나 결국 사랑할 수밖에 없는 도시 서울. 건축가 오기사가 보는 도시 서울은 흔적과 장소 집합 기호 상징 미학 기억 그리고 상상으로 이루어져 있다. 그 모습은 사랑하는 사람과의 지난 추억을 닮아 있다.건축가적 사유와 상상으로 풀어낸 글 풍부하게 삽입된 카툰과 그림 사진에서 오기사 특유의 쿨한 감성과 위트를 충분히 만끽할 수 있으며 우리가 너무나 익숙하게 바라보았던 서울에 대해 새로운 시각을 가져볼 수 있는 참신한 기회를 제공한다. 그런 점에서 이 책은 낯설지만 낯설지 않고 새롭지 않으나 새로운 책이다.* 관련 동영상 보러 가기,"['도시', '대한민국', '서울', '사랑', '로서']",0.333,1,,,,
파이썬 언어로 AI 인공지능 기술 구현하는 예제,"['파이썬', '지능', '기술', '인공', '언어', '예제', '구현']",한 권으로 끝내는 아두이노와 파이썬으로 52개 작품 만들기,이 책은 아두이노를 사용하여 하드웨어를 만들고 파이썬을 이용하여 PC에서 프로그램을 만든 후 서로 통신 및 융합하여 52가지 다양한 작품 만들기를 통해 재미와 학습 두 가지를 모두 할 수 있게 구성하였다! 아두이노는 오픈소스라는 막강한 무기로 하드웨어를 제어하여 작품을 만드는 곳에서 많이 사용하고 있다. 하지만 인공지능이나 통신 카메라 인식 등을 사용하기 위해서는 연산능력이 부족하다. 부족한 부분을 파이썬을 이용하여 PC에서 처리하고 처리된 결과를 통신을 통해 아두이노를 제어한다. 즉 아두이노와 파이썬은 서로 부족한 부분을 체워줄 수 있다.아두이노를 이용하여 하드웨어를 만들고 제어하는 재미를 느끼고 파이썬을 이용하여 PC에서 프로그램을 만드는 재미를 느끼면서 자연스럽게 아두이노와 파이썬을 배울 수 있도록 구성하였다. 아두이노와 파이썬에 익숙해지면 파이썬의 강력한 기능을 통해 인공지능을 만들어보면서 파이썬의 강력한 다양한 기능을 활용할 수 있는 작품을 직접 만들어 볼수 있도록 하였다. 어떻게 하면 인공지능을 배우려는 출발점을 가볍게 할 수 있을지 또한 인공지능을 활용하여 나만의 아이디어 작품을 만들게 하자의 결과물이 이 책이다.,"['파이썬', '재미', '지능', '인공', '제어', '하드웨어']",0.3,1,,,,
파이썬 언어로 AI 인공지능 기술 구현하는 예제,"['파이썬', '지능', '기술', '인공', '언어', '예제', '구현']",핸즈온 비지도 학습,인공지능 구현에 적합한 비지도 학습 이론과 활용 『핸즈온 비지도 학습』은 케라스를 사용한 텐서플로와 안정화된 파이썬 프레임워크인 사이킷런으로 비지도 학습 적용 방법을 알려준다. 다양한 실습 예제와 코드를 통해 데이터에 내재된 패턴을 찾아내어 깊이 있는 비즈니스 통찰력을 얻거나 이상 징후를 감지할 수 있다. 또한 자동화된 피처 엔지니어링 및 피처 선택을 수행하고 새로운 합성 데이터셋을 생성할 수 있다. 약간의 머신러닝 경험과 프로그래밍 스킬만 있으면 이 책으로 비지도 학습 기법을 쉽게 익힐 수 있을 것이다.,"['경험', '러닝', '지능', '인공', '프로그래밍', '구현']",0.3,1,,,,
파이썬 언어로 AI 인공지능 기술 구현하는 예제,"['파이썬', '지능', '기술', '인공', '언어', '예제', '구현']",퀀트 전략을 위한 인공지능 트레이딩,나만의 투자 전략 실현을 위한 인공지능 퀀트 투자 학습법 알파고 이후 인공지능 기술은 제조 의료 교육 게임 보안 등 다양한 산업에 도입되었고 머신러닝과 딥러닝을 기반으로 한 서비스가 생겨났다. 금융권도 인공지능이라는 날개를 달고 진화 중이다. 고객 대응 자산 관리 종목 분석 주식 거래 등 지능형 시스템과 빅데이터를 활용하여 다양한 분야에서 폭넓은 서비스를 제공한다. 주식 거래를 위한 자료 수집부터 퀀트 투자 전략과 머신러닝/딥러닝을 이용한 투자 전략까지 상세히 설명한다. 알고리즘 트레이딩에 대한 머신러닝과 딥러닝 방법의 한계와 가능성을 명확히 알려주고 실전에서 활용 가능한 최신 모델링 기법을 알려준다. 예제 코드는 이해하기 쉽도록 짧고 간단하게 구성했다. 이 책의 내용을 잘 따라 하면 자신만의 투자 가설을 검증하고 자신만의 투자 기법을 머신러닝 툴로 실현하며 계량적 투자 전략을 구현하는 과정에서 만나는 문제를 해결할 수 있다.,"['전략', '지능', '기술', '인공', '투자', '머신']",0.3,1,,,,
